Grade,Subject,Standard Code,Category,Subcategory,Description
K,Lang/Arts,K.L.1,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
K,Lang/Arts,K.L.1a,Language Standards,Conventions of Standard English,Print many upper- and lowercase letters.
K,Lang/Arts,K.L.1b,Language Standards,Conventions of Standard English,Use frequently occurring nouns and verbs.
K,Lang/Arts,K.L.1c,Language Standards,Conventions of Standard English,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
K,Lang/Arts,K.L.1d,Language Standards,Conventions of Standard English,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
K,Lang/Arts,K.L.1e,Language Standards,Conventions of Standard English,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
K,Lang/Arts,K.L.1f,Language Standards,Conventions of Standard English,Produce and expand complete sentences in shared language activities.
K,Lang/Arts,K.L.2,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
K,Lang/Arts,K.L.2a,Language Standards,Conventions of Standard English,Capitalize the first word in a sentence and the pronoun I.
K,Lang/Arts,K.L.2b,Language Standards,Conventions of Standard English,Recognize and name end punctuation.
K,Lang/Arts,K.L.2c,Language Standards,Conventions of Standard English,Write a letter or letters for most consonant and short-vowel sounds (phonemes).
K,Lang/Arts,K.L.2d,Language Standards,Conventions of Standard English,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
K,Lang/Arts,K.L.4,Language Standards,Vocabulary Acquisition and Use,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
K,Lang/Arts,K.L.4a,Language Standards,Vocabulary Acquisition and Use,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
K,Lang/Arts,K.L.4b,Language Standards,Vocabulary Acquisition and Use,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
