transaction_id,item,payment_method,location,transaction_date,quantity,price_per_unit,total_spent,item_Cake,item_Coffee,item_Cookie,item_Juice,item_Salad,item_Sandwich,item_Smoothie,item_Tea,payment_Cash,payment_Credit Card,payment_Digital Wallet,location_In-store,location_Takeaway,calculated_total,month,weekday
TXN_1581562,Coffee,Cash,In-store,2023-01-01,2.0,2.0,4.0,0,1,0,0,0,0,0,0,1,0,0,1,0,4.0,2023-01,Sunday
TXN_5563675,Tea,Digital Wallet,In-store,2023-01-01,3.0,1.5,4.5,0,0,0,0,0,0,0,1,0,0,1,1,0,4.5,2023-01,Sunday
TXN_2024598,Sandwich,Digital Wallet,In-store,2023-01-01,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.0,2023-01,Sunday
TXN_4292280,Cake,Cash,Takeaway,2023-01-01,4.0,3.0,12.0,1,0,0,0,0,0,0,0,1,0,0,0,1,12.0,2023-01,Sunday
TXN_8842223,Sandwich,Digital Wallet,In-store,2023-01-01,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,0,1,1,0,20.0,2023-01,Sunday
TXN_2192787,Sandwich,Cash,In-store,2023-01-01,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,1,0,20.0,2023-01,Sunday
TXN_7367474,Juice,Digital Wallet,Takeaway,2023-01-01,5.0,3.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0,1,15.0,2023-01,Sunday
TXN_8308672,Salad,Digital Wallet,Takeaway,2023-01-01,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,0,1,0,1,10.0,2023-01,Sunday
TXN_3093284,Coffee,Digital Wallet,In-store,2023-01-01,4.0,2.0,8.0,0,1,0,0,0,0,0,0,0,0,1,1,0,8.0,2023-01,Sunday
TXN_9161256,Smoothie,Digital Wallet,In-store,2023-01-01,2.0,4.0,8.0,0,0,0,0,0,0,1,0,0,0,1,1,0,8.0,2023-01,Sunday
TXN_4801947,Juice,Digital Wallet,Takeaway,2023-01-01,1.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.0,2023-01,Sunday
TXN_2104473,Cake,Digital Wallet,Takeaway,2023-01-01,3.0,3.0,9.0,1,0,0,0,0,0,0,0,0,0,1,0,1,9.0,2023-01,Sunday
TXN_4262142,Cake,Cash,Takeaway,2023-01-02,2.0,3.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.0,2023-01,Monday
TXN_9649503,Cake,Credit Card,Takeaway,2023-01-02,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,1,3.0,2023-01,Monday
TXN_7906197,Sandwich,Credit Card,In-store,2023-01-02,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,1,0,1,0,20.0,2023-01,Monday
TXN_1026827,Cookie,Digital Wallet,In-store,2023-01-02,4.0,1.0,4.0,0,0,1,0,0,0,0,0,0,0,1,1,0,4.0,2023-01,Monday
TXN_4258943,Sandwich,Credit Card,In-store,2023-01-02,2.0,4.0,8.0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.0,2023-01,Monday
TXN_9454387,Salad,Cash,Takeaway,2023-01-02,2.0,5.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,1,10.0,2023-01,Monday
TXN_6843517,Sandwich,Credit Card,In-store,2023-01-02,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,1,0,1,0,20.0,2023-01,Monday
TXN_2714524,Sandwich,Cash,Takeaway,2023-01-02,4.0,4.0,16.0,0,0,0,0,0,1,0,0,1,0,0,0,1,16.0,2023-01,Monday
TXN_3963927,Sandwich,Credit Card,In-store,2023-01-03,4.0,4.0,16.0,0,0,0,0,0,1,0,0,0,1,0,1,0,16.0,2023-01,Tuesday
TXN_3749801,Cake,Credit Card,Takeaway,2023-01-03,5.0,3.0,15.0,1,0,0,0,0,0,0,0,0,1,0,0,1,15.0,2023-01,Tuesday
TXN_9728454,Juice,Digital Wallet,Takeaway,2023-01-03,4.0,3.0,12.0,0,0,0,1,0,0,0,0,0,0,1,0,1,12.0,2023-01,Tuesday
TXN_1607471,Sandwich,Credit Card,Takeaway,2023-01-03,2.0,4.0,8.0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.0,2023-01,Tuesday
TXN_2493262,Cookie,Credit Card,Takeaway,2023-01-03,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,1,2.0,2023-01,Tuesday
TXN_6368719,Cake,Credit Card,Takeaway,2023-01-03,4.0,3.0,12.0,1,0,0,0,0,0,0,0,0,1,0,0,1,12.0,2023-01,Tuesday
TXN_7686476,Coffee,Digital Wallet,Takeaway,2023-01-03,3.0,2.0,6.0,0,1,0,0,0,0,0,0,0,0,1,0,1,6.0,2023-01,Tuesday
TXN_1411473,Coffee,Credit Card,In-store,2023-01-04,3.0,2.0,6.0,0,1,0,0,0,0,0,0,0,1,0,1,0,6.0,2023-01,Wednesday
TXN_4147675,Tea,Credit Card,In-store,2023-01-04,2.0,1.5,3.0,0,0,0,0,0,0,0,1,0,1,0,1,0,3.0,2023-01,Wednesday
TXN_1232346,Salad,Digital Wallet,In-store,2023-01-04,5.0,5.0,25.0,0,0,0,0,1,0,0,0,0,0,1,1,0,25.0,2023-01,Wednesday
TXN_9908225,Smoothie,Credit Card,In-store,2023-01-04,5.0,4.0,20.0,0,0,0,0,0,0,1,0,0,1,0,1,0,20.0,2023-01,Wednesday
TXN_8608811,Cake,Credit Card,Takeaway,2023-01-05,5.0,3.0,15.0,1,0,0,0,0,0,0,0,0,1,0,0,1,15.0,2023-01,Thursday
TXN_3313534,Cookie,Digital Wallet,In-store,2023-01-05,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,1,0,2.0,2023-01,Thursday
TXN_8742689,Tea,Digital Wallet,Takeaway,2023-01-05,5.0,1.5,7.5,0,0,0,0,0,0,0,1,0,0,1,0,1,7.5,2023-01,Thursday
TXN_4980036,Cake,Cash,Takeaway,2023-01-05,2.0,3.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.0,2023-01,Thursday
TXN_4283693,Salad,Cash,In-store,2023-01-05,2.0,5.0,10.0,0,0,0,0,1,0,0,0,1,0,0,1,0,10.0,2023-01,Thursday
TXN_7766134,Tea,Credit Card,Takeaway,2023-01-05,1.0,1.5,1.5,0,0,0,0,0,0,0,1,0,1,0,0,1,1.5,2023-01,Thursday
TXN_1324968,Cookie,Credit Card,In-store,2023-01-05,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,2023-01,Thursday
TXN_3910230,Sandwich,Cash,Takeaway,2023-01-05,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,0,1,20.0,2023-01,Thursday
TXN_5862289,Juice,Digital Wallet,Takeaway,2023-01-05,4.0,3.0,12.0,0,0,0,1,0,0,0,0,0,0,1,0,1,12.0,2023-01,Thursday
TXN_8852585,Sandwich,Credit Card,Takeaway,2023-01-05,4.0,4.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.0,2023-01,Thursday
TXN_1767872,Salad,Credit Card,In-store,2023-01-05,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.0,2023-01,Thursday
TXN_2044375,Salad,Cash,Takeaway,2023-01-05,1.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,1,5.0,2023-01,Thursday
TXN_6380550,Coffee,Cash,In-store,2023-01-05,5.0,2.0,10.0,0,1,0,0,0,0,0,0,1,0,0,1,0,10.0,2023-01,Thursday
